id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,,Centrum-Oost,52.358112,4.897637,Entire home/apt,150,3,65,2022-10-16,0.44,1,2,3,0363 E295 7D15 8420 343E
55868,Apartment near Museumplein (centre),264178,Cornelie,,Zuid,52.35597,4.88512,Entire home/apt,149,3,95,2020-01-03,0.64,1,65,0,0363 B5A3 5F63 B032 A320
62015,"Charming, beautifully & sunny place",301340,Jessica,,Oud-Oost,52.36431,4.93122,Entire home/apt,120,2,36,2021-11-14,0.24,1,0,0,0363 B090 499C D757 7F4F
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,,Centrum-West,52.37828,4.8944,Private room,116,3,241,2022-12-31,1.65,4,0,13,0363 4108 6EC3 C2FF 2493
730916,Bed & Breakfast in Oud West Area,3267693,Santiago & Tony,,Westerpark,52.3731,4.86859,Private room,95,3,403,2023-02-26,3.21,1,141,39,0363 AC47 89D1 F988 70CA
82482,The Backroom - Central private appt,186729,Shawna,,Centrum-West,52.36968,4.88122,Entire home/apt,140,2,985,2023-03-06,6.90,1,176,81,0363 4ADE 41D8 0E67 1563
91535,"Privat room and shared Houseboat ""Ramona"" centre",494281,Michiel,,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,148,1,121,2023-03-03,0.86,1,2,69,0363 74BA 2074 E0CF 1CB8
733654,FAMILY HOME WITH SUNNY PRIVATE GARDEN IN CENTER,3823268,Geerke,,Centrum-Oost,52.37098,4.9227,Entire home/apt,168,5,12,2022-08-13,0.10,1,0,2,0363 14BA 84A0 A482 3B0B
740616,Private Room at our LoveNest in Amsterdam,3846003,Patricia And Carlos,,Centrum-Oost,52.36256,4.9108,Private room,99,3,77,2019-06-15,0.61,1,66,0,0363 52AD E309 9B3D 72F7
331946,Lovely FAMILY house near Vondelpark,1687595,Sebastiaan,,De Baarsjes - Oud-West,52.3606,4.85739,Entire home/apt,220,2,27,2019-07-21,0.24,1,0,0,0363 A942 21DC C431 1AD1
343094,Amstel Nest - an urban retreat for two,1740785,Rob & Fang,,Oud-Oost,52.35715,4.90926,Private room,108,3,462,2023-02-20,3.50,1,116,56,0363 FC71 F7DB 3AB4 3C42
97221,Beautiful and spacious room,195859,Gianni,,Slotervaart,52.34801,4.83639,Private room,55,2,273,2023-02-20,1.92,2,269,61,0363 BCBA 6311 3268 DC8C
137026,Entire house with garden in De Pijp,670266,Ton & Fede,,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,265,2,102,2023-02-26,0.75,1,40,5,0363 67D6 8568 BA8A F738
350271,Luxe boat AMSTERDAM IJBURG!!!,1775032,Agustina,,IJburg - Zeeburgereiland,52.36129,4.98845,Entire home/apt,395,7,4,2022-08-15,0.04,1,0,1,0363 6334 AD6B 47DF B32A
741043,Modern  stylish villa: My Amsterdam Houseboat,3877342,Nicole,,Westerpark,52.37654,4.87003,Entire home/apt,495,2,50,2023-02-05,0.41,3,201,7,0363 96BE 3082 7DDB 9575
155548,Apartment 2 minutes from Centrum!,748161,Maria,,Oud-Oost,52.3642,4.92829,Entire home/apt,200,3,21,2019-08-20,0.15,1,0,0,0363 A562 4D7E 4A91 60DF
742160,Historical sailing ship in the center of Amsterdam,176944339,Dion,,Centrum-Oost,52.36866,4.92071,Entire home/apt,801,2,119,2023-02-06,0.96,2,160,6,Exempt
357980,★ STYLISH FAMILY HOME - CITY CENTER,1811745,Marre,,De Baarsjes - Oud-West,52.36348,4.87648,Entire home/apt,245,2,121,2023-03-03,0.91,1,17,24,0363 799F 0610 C059 F9F4
162467,Modern app. with brand new design bathroom,776296,Nicole,,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,145,3,64,2023-02-09,0.52,1,77,3,0363 C6C3 A2DC 89AC B72B
366438,Amsterdam@ city centre & canal view,1849988,Nicolet,,Centrum-Oost,52.367377549542454,4.896707133551012,Private room,170,3,463,2023-02-26,3.48,1,162,42,0363 BD40 0F80 50E7 8478
744659,Private luxury B&B near Amstel,3518386,Kristel,,Oud-Oost,52.35659,4.90827,Private room,115,1,212,2023-02-19,1.68,2,105,76,0363 C453 AB43 D5F5 6DAC
168769,"SUPERLOCATED Room in  CANALHOUSE, Private bath",436145,Riks,,Centrum-West,52.37956,4.89359,Private room,126,3,280,2022-12-29,2.01,4,0,12,0363 4108 6EC3 C2FF 2493
746067,Beautiful apartment in canal house,3713242,Barbara,,Centrum-West,52.38295,4.88726,Entire home/apt,136,3,82,2021-10-17,0.67,3,0,0,0363 1B4D A947 7005 0B07
171054,Spacious apartment next to center,815989,Kamiel,,De Baarsjes - Oud-West,52.36768,4.86646,Entire home/apt,120,3,103,2018-11-28,0.73,1,0,0,0363 BDF7 C0EC 9B88 DECA
747847,nice cozy room near Vondelpark,3548522,Susanne,,De Baarsjes - Oud-West,52.36131,4.8519,Private room,60,2,40,2018-06-23,0.36,3,53,0,0363 8350 2AA2 28A1 C258
367107,"IN HISTORIC CENTRE, NEXT TO AMSTEL, PEACEFUL HOME",1853421,Marijn,,Centrum-Oost,52.36263,4.90216,Entire home/apt,214,5,15,2022-10-18,0.16,1,45,4,0363 1761 5C93 2C93 93FE
179528,Authentic Amsterdam apartment RAI,856540,Pierre,,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,400,21,32,2022-10-14,0.23,2,107,3,0363 1C26 67B4 C610 1758
188347,Clean & Cozy room in The Baarsjes,907405,Yahav,,De Baarsjes - Oud-West,52.3683,4.85446,Private room,86,1,384,2022-09-20,2.73,2,57,15,0363 7C68 38F7 176D 8CDF
367491,"Charming,  bright and quiet home center Amsterdam",1855417,Maarten,,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,189,3,77,2023-01-29,0.58,1,2,5,0363 7096 B559 45DB 421C
378523,Freedom on the water!,1901477,Caroline,,Centrum-Oost,52.3742,4.90401,Entire home/apt,337,4,115,2022-06-20,0.90,1,41,5,0363 0D10 7FFD B425 1553
754020,Spacious Sunny Apartment - 4p,3966326,Hf,,De Pijp - Rivierenbuurt,52.34829,4.91047,Entire home/apt,250,4,75,2023-01-09,0.60,1,18,5,0363 1DC6 7A53 D958 DFA2
189754,Metropolitan B&B centre Amsterdam,915591,Marijn,,Centrum-West,52.37548,4.89398,Entire home/apt,241,2,289,2023-03-08,2.07,1,98,72,0363 08BD B22D FCC2 5F83
213371,Spacious apartment in De Pijp,1100324,Hendrik,,De Pijp - Rivierenbuurt,52.3515,4.89656,Entire home/apt,250,4,23,2023-01-08,0.16,1,2,1,0363 F88F 4B47 6E9B 225B
754613,Canal house - Heart of Amsterdam,3970753,Take & Eline,,Centrum-Oost,52.37266,4.90456,Entire home/apt,286,4,358,2023-02-25,2.92,1,77,58,0363 DBD3 72A7 CE0C B37C
379885,Private Studio Houseboat *BEST VIEW* @Amstel,1907015,Masha,,De Pijp - Rivierenbuurt,52.35465,4.9061,Private room,217,3,92,2023-02-20,0.70,1,203,10,0363 3FE4 07B5 85AA 55F8
402353,Comfortable design apartment with roof terrace,2008330,Lidy,,Watergraafsmeer,52.35338,4.93407,Private room,154,2,249,2023-02-12,1.92,1,67,34,0363 12D8 9BB2 949E 3227
214531,LUXURIOUS GUESTHOUSE in CITY CENTER,1107389,Henry,,Centrum-West,52.37169,4.89446,Private room,115,3,175,2022-06-26,1.27,1,0,4,0363 1939 7BED DDCD 0353
755431,A special spot near the Jordaan ideal for two,3975477,Anna And Robert,,De Baarsjes - Oud-West,52.37066,4.87405,Private room,138,2,227,2023-02-18,1.96,1,193,56,0363 FB2E 260E BE6C 44C2
219276,Suite in Canalhouse in the heart of the center,1135329,Amsterdam Boutique Apartments,,Centrum-West,52.36883,4.88749,Private room,300,2,17,2022-10-23,0.13,1,38,5,0363 1179 146A FBDB 79FC
758475,"Central apartment 50m2, Old West Jordaan.",1387938,Mathi,,De Baarsjes - Oud-West,52.36827,4.87107,Entire home/apt,100,6,39,2020-07-11,0.31,1,0,0,0363 D3E7 CE96 D44D 9D64
415619,Sunny Amsterdam East Harbor View,1336633,Stephan,,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire home/apt,148,2,78,2023-01-09,0.59,1,70,7,0363 09A6 8FFA 6EC4 805F
432233,Beautiful apartment @ true center,2144360,Feiko,,Centrum-Oost,52.3609619140625,4.88822603225708,Entire home/apt,250,5,27,2022-09-25,0.20,1,0,3,0363 DA8F B298 31AF FE9B
222516,Cosy apartment in A'dam West. Tasteful & quiet.,1155595,Alex,,De Baarsjes - Oud-West,52.36271,4.85875,Entire home/apt,119,3,139,2022-09-05,1.00,1,0,4,0363 6ADC 900E 6878 AC7C
438089,STUDIO FOR 2 VONDELPARK AMSTERDAM,2064560,Har,,De Baarsjes - Oud-West,52.36116,4.86608,Private room,129,3,231,2022-12-21,1.81,2,0,17,03632826293CAE5B9570
759060,Spacious delightful Canalhouse,4000086,Ingo & Marlies,,Centrum-West,52.36754,4.88733,Entire home/apt,325,3,106,2021-08-20,0.86,1,0,0,0363 D4FC 15B7 5915 A042
759299,beautiful spacious appartment near Vondelpark,3548522,Susanne,,De Baarsjes - Oud-West,52.36115,4.85209,Entire home/apt,225,2,10,2022-06-27,0.09,3,1,1,0363 8350 2AA2 28A1 C258
245927,Sonnenberg - Canal side & view - Private & Central,1005087,Wytse,,Centrum-West,52.36815,4.88604,Entire home/apt,561,2,176,2023-03-02,1.33,1,232,41,0363 E3FA A6F6 2112 7636
761411,Amsterdam sweethome - Clean Quiet Safe,4013546,Xsjong,,Noord-Oost,52.40164,4.95106,Private room,56,3,280,2023-01-22,2.23,2,276,23,0363 D4AD DCF3 E72A 56A2
440992,Charming houseboat near Olympic St.,2191136,Jan,,Zuid,52.341621,4.849049,Entire home/apt,200,3,120,2022-06-28,0.91,1,72,9,0363 6532 4C0A A235 9114
247805,"Bellavista, central,with canal view",1298735,Carolien,,De Baarsjes - Oud-West,52.36707,4.87348,Private room,132,2,396,2023-02-26,2.88,1,161,49,0363 157A 14AF 5451 77C3
441424,Family house in centre of Amsterdam,2193861,Marco,,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,150,3,39,2022-08-20,0.30,1,8,5,0363B9396B464F7B165A
768274,Amazing Canal Loft,3678216,J & R,,Westerpark,52.38855,4.88521,Entire home/apt,327,3,72,2022-07-26,0.62,1,73,7,0363 7A50 18E7 51D1 B7F9
768737,"Room, brandnew luxurious houseboat",3877342,Nicole,,Westerpark,52.37824,4.86826,Private room,109,2,321,2023-02-27,2.69,3,9,53,036396BE30827DDB9575
252080,Amazing apartment historical centre,1322517,Evan,,Centrum-Oost,52.36936,4.90963,Entire home/apt,385,4,15,2023-03-03,0.11,1,1,4,0363 4B98 6C27 7CA6 62B9
771217,Lovely Amsterdam Houseboat,4068486,Danielle,,Zuid,52.34091,4.84802,Entire home/apt,290,3,10,2019-01-02,0.11,1,0,0,0363 D807 AD6C 499A F871
254800,Amazing apartment in city center,1337537,Diederik,,Centrum-West,52.37122,4.88211,Entire home/apt,296,2,63,2022-10-14,0.53,1,0,6,0363 7E3F 1742 B05C 9E62
771343,City Centre En-Suite Shower Room. Roof Terrace.,2313061,Marcel,,Centrum-West,52.37641,4.88303,Private room,148,1,643,2023-03-05,6.45,2,119,103,0363 8C61 E9B9 5582 913E
771758,Nice and Cozy Room Offered in Amsterdam,195859,Gianni,,Slotervaart,52.34985,4.83578,Private room,55,2,240,2023-02-18,2.00,2,288,51,0363 BCBA 6311 3268 DC8C
445660,cosy room with private entrance,2202945,Heleen,,De Baarsjes - Oud-West,52.37001,4.85646,Private room,80,2,480,2023-03-08,3.64,1,152,69,0363 1D15 382F 70B9 6319
255809,stylish apartment free car parking and 2 bikes,1344947,Flo&André,,De Pijp - Rivierenbuurt,52.34416,4.88709,Private room,168,2,155,2023-03-05,1.17,1,150,46,0363 A842 020A 9193 B416
446999,Guestroom VONDELPARK AMSTERDAM,2064560,Har,,De Baarsjes - Oud-West,52.35927,4.86529,Private room,119,3,350,2022-12-13,2.76,2,0,22,03632826293cae5b9570
262394,Charming Studio with Roof Terrace,1376607,Martin,,Zuid,52.35695,4.85234,Private room,88,3,113,2019-10-07,0.85,1,0,0,0363 B86D 98DE 3A24 8790
775655,the Boathouse bed&bike A'dam centre,4091515,Karin,,Centrum-Oost,52.37026,4.89931,Private room,130,2,433,2023-02-20,3.45,2,252,19,0363 E246 20B0 E608 BF76
274688,Cozy sleeping in popular Amsterdam West,1435990,Marij,,Bos en Lommer,52.37977,4.85574,Entire home/apt,146,3,44,2022-12-31,0.32,1,0,1,0363 04FA C38F 7362 8C6D
283170,5-bedrooms house; central location,1451657,Marco,,Zuid,52.35435,4.87316,Entire home/apt,986,2,118,2023-02-19,0.89,1,270,8,0363 0240 34A0 48C3 6D81
776288,Amsterdam Studio Garden Museumplein,3648704,Michael,,Zuid,52.35548,4.87278,Entire home/apt,130,3,291,2023-03-02,2.39,2,12,48,0363 EBCE FBA1 BD42 BA22
286500,"Centre, canal view with private bathroom",1491565,David,,Centrum-West,52.37561,4.9,Private room,150,3,353,2023-03-02,2.61,2,197,42,0363 DF01 FBC0 496B 9730
778820,"Spacious, bright and comfortable",4106698,Co,,De Baarsjes - Oud-West,52.35982,4.85635,Entire home/apt,110,3,2,2018-04-06,0.03,1,0,0,0363 FB65 8DE6 CA89 1A9B
450767,Houseboat 'Saturnus' Amsterdam,2238440,Richard En Birgit,,Centrum-Oost,52.37006,4.90081,Entire home/apt,279,3,157,2023-02-13,1.24,2,141,63,0363 DB37 0A9B 68B2 4474
290701,"Central, big window, rear room with private bath.",1491565,David,,Centrum-West,52.37561,4.9,Private room,134,3,407,2023-02-24,3.03,2,228,48,0363 DF01 FBC0 496B 9730
462341,Central 17th Century Unique House,2297302,Milen & Joes,,Centrum-West,52.3739,4.89263,Entire home/apt,238,6,38,2022-08-16,0.40,1,22,3,0363 C83F 9271 BA8F 23ED
780674,Beautiful apartment in city centre,4117326,Bas,,Centrum-Oost,52.36855,4.90766,Entire home/apt,149,2,34,2022-09-24,0.30,1,0,3,0363 145B 25EE AB16 EB91
291752,Cozy & large bohemian style room,1511330,Ton,,Oud-Oost,52.35179,4.91082,Private room,126,3,232,2023-03-05,1.70,1,191,23,0363 6ACC BA1B 12A9 60C1
304082,Quiet studio in the heart of town with Garden!,276068,Mirre,,Centrum-West,52.37239,4.89657,Private room,146,2,229,2023-02-23,1.72,1,185,72,0363 6C40 7413 ADD3 9AF8
782254,Beautiful apt in city center for FAMILIES ONLY,4125951,Daniela,,Centrum-West,52.37142,4.89036,Entire home/apt,399,2,57,2022-06-28,0.46,1,0,5,0363 8627 FC55 F473 7A25
304143,Unique Beautiful Houseboat (ship) in Center,1565319,Dick,,Oud-Oost,52.3623,4.92028,Entire home/apt,88,28,52,2020-03-07,0.39,1,0,0,0363AF9644094CEBCE6B
481664,Live the life of A'dam on water!,1382273,Eltjo,,Westerpark,52.39134,4.89067,Private room,107,2,510,2023-02-20,4.56,1,91,55,0363FF789E4208718D0D
307497,Historical sailing ship Amsterdam,176944339,Dion,,Westerpark,52.39185,4.8869,Entire home/apt,1063,2,105,2022-11-01,0.82,2,149,5,Exempt
785432,Amsterdam Houseboat 'Centre',2586026,Nathalie,,Centrum-Oost,52.36856,4.89896,Entire home/apt,245,2,929,2023-02-28,7.46,1,28,94,0363 9012 937A BE0A DCB1
307621,"SunBird, Sunny Apt in Quiet Street",1141485,Gisèle And Simon,,Centrum-Oost,52.35871,4.89616,Entire home/apt,155,3,2,2015-10-24,0.02,2,2,0,0363 33C3 B936 3911 FC42
794322,Romantic Houseboat in the center,4184910,Lydia,,Centrum-Oost,52.368637074100214,4.899095646157325,Private room,185,1,346,2023-01-08,2.83,1,247,24,0363 7FCD 7E75 8341 EB0E
308028,"SunFlower, A Sunny B&B",1141485,Gisèle And Simon,,Centrum-Oost,52.35972,4.8975,Private room,97,3,36,2023-02-28,0.33,2,0,1,0363 33C3 B936 3911 FC42
800723,mediterranean ambiance appartment,4215174,Hinde,,De Baarsjes - Oud-West,52.36884,4.86127,Entire home/apt,150,4,18,2020-02-18,0.15,1,70,0,0363 6CD0 61EE A298 8E86
483779,Spacious studio apartment in A'dam,2395278,Alex,,Slotervaart,52.3509,4.83293,Private room,100,2,37,2017-10-22,0.48,1,0,0,0363 0306 F66C F808 A78D
494433,Clean & Cozy Apartment in The Baarsjes!,907405,Yahav,,De Baarsjes - Oud-West,52.36812,4.85422,Entire home/apt,186,1,31,2022-10-01,0.24,2,5,7,0363 7C68 38F7 176D 8CDF
1008006,Luxury BedonBoard on Beautiful Houseboat Amsterdam,3523553,Doet,,Westerpark,52.37998,4.86959,Private room,117,3,139,2023-02-12,1.51,2,238,27,0363 B686 2FA3 2168 364E
503629,"Quiet & spacious apt, near Museums & Concertgebouw",2483843,Alban,,Zuid,52.3543,4.87701,Entire home/apt,120,5,11,2019-07-28,0.09,1,0,0,0363 E959 5BC3 BBA6 1C6E
801544,Charlie + Coco's Apartment,1657181,Charlie,,De Pijp - Rivierenbuurt,52.35205,4.90267,Entire home/apt,160,3,97,2022-10-17,0.81,1,0,9,0363 B7E4 8394 0A13 58F5
802052,Sleeping in a unique ship in the center of A'dam!,4221960,Peter,,Centrum-Oost,52.36476,4.90925,Private room,129,1,1096,2023-03-05,8.76,1,144,156,0363 787E FE88 DA65 E7FC
805330,Sunny & Bright 3 bed apt with Roof terrace,4239235,Felice,,De Pijp - Rivierenbuurt,52.34725,4.89341,Entire home/apt,249,4,17,2022-09-13,0.14,1,0,3,0363 9611 7834 EC7F E5BB
1008223,A'dam West - room with double bed,4443157,Arne,,Slotervaart,52.36369,4.83861,Private room,69,2,611,2023-03-01,5.04,1,71,68,0363 2BC1 B5A0 68C1 3161
816940,Old South Lovely Garden Apartment,4290554,Joyce,,Zuid,52.35323,4.85421,Entire home/apt,150,6,65,2023-02-20,0.54,1,77,4,03632A9BE56A736890D1
505012,Centre Amsterdam perfect for family,1645998,Djoke,,Centrum-Oost,52.36412,4.88757,Entire home/apt,475,3,61,2022-09-07,0.48,1,98,1,0363 5F8A A57B 18E0 63BB
1018639,Canal app. 80m² Museum+shop area,4473576,Hans,,Centrum-Oost,52.36181,4.88783,Private room,136,3,41,2019-11-24,0.34,2,0,0,0363 1928 78CA 1A97 A407
515088,Familyfriendly Suite incl breakfast,2536879,Hansje,,Noord-Oost,52.39675,4.99603,Entire home/apt,170,2,2,2019-03-10,0.04,1,206,0,0363 0A94 AAA2 B228 0695
818881,CANAL  APTM. WITH GARDEN IN CENTRE,4297337,Liesbeth,,Centrum-Oost,52.36123,4.89619,Entire home/apt,122,6,16,2023-02-04,0.14,1,110,3,0363 C043 2638 E06E 6A9B
834233,Studio Mondriaan Amsterdam,4364462,Margot,,Centrum-Oost,52.37272,4.90418,Private room,130,3,332,2023-02-23,2.68,1,94,31,0363 02A6 5C3D 72B4 EBA2
1018703,Cosy studio on HOUSEBOAT with roof terrace!,125667,Michèle,,De Pijp - Rivierenbuurt,52.35099,4.886627,Private room,149,3,295,2023-03-04,2.72,2,0,28,Exempt
835627,Occasional availability Centre Apt,3054367,Dorine,,Centrum-Oost,52.36899,4.91607,Entire home/apt,400,3,19,2023-01-29,0.15,1,2,4,0363 7FFF 9AB4 C585 EADB
515749,Warm and cosy houseboat,2540480,Derk,,Centrum-Oost,52.35902,4.89606,Private room,205,3,222,2023-03-06,1.71,1,276,41,0363CB2056581DF32788
1020477,central canal apartment,5617295,Marc,,Centrum-West,52.37811,4.89196,Entire home/apt,250,4,35,2022-08-10,0.29,1,0,5,0363 943E 8C13 49EE FF82
515921,Apartment near centre with amazing view over city,2541099,Anne-Marie,,Zuid,52.35022,4.8525,Entire home/apt,175,2,88,2023-03-04,0.67,1,25,11,0363 676E D52D A47D 768A
517996,Bright Canal house with amazing view! @the Jordaan,2550339,Aemilia,,Centrum-West,52.37827,4.88568,Entire home/apt,400,3,25,2023-02-20,0.20,1,354,2,0363 7EFC D96F 5878 3F49
847093,Lovely apartment @Vondelpark for families,4663170,Brenda,,De Baarsjes - Oud-West,52.3607,4.85991,Entire home/apt,150,5,52,2022-12-31,0.43,1,5,6,0363 F80D 830C 99F0 23E3
851044,HOUSEBOAT NOVA 80m2 + FREE BIKES,4443833,Nova Team,,Zuid,52.34025,4.8466,Entire home/apt,177,1,887,2023-02-27,7.16,2,116,107,0363 B559 3E8F 0F72 1573
1021538,Big and stylish family-home with garden.,5622526,Jef & Mette,,Slotervaart,52.35166,4.83893,Entire home/apt,289,6,8,2022-07-31,0.10,1,57,2,0363 7825 110F 3238 A4AB
853645,Perfect location bright cosy appt!,4398387,Joyce,,De Pijp - Rivierenbuurt,52.35327,4.88703,Entire home/apt,800,30,70,2018-04-07,0.57,1,0,0,0363 ADD7 618B A8B0 4965
522471,Beautiful 2-storey appartment+roof terrace (135 m),2569931,Harriet,,Bos en Lommer,52.3774,4.851,Entire home/apt,190,8,26,2023-01-06,0.22,1,0,3,0363 1139 9247 9E72 640C
1025482,"Houseboat,Centre,Garden, Breakfast, Cheap parking",5646154,Reinhart,,Oud-Noord,52.38355,4.90951,Private room,113,2,694,2023-02-22,5.74,2,158,86,0363 0E7F 32B4 14AC 35E6
528022,Somewhere Else,2594559,Els,,Westerpark,52.39114,4.88846,Private room,110,2,255,2023-03-05,3.26,1,162,42,0363 9289 A94D 5C21 A579
538723,Beautiful ground floor apartment,356740,Dimphy,,Watergraafsmeer,52.354,4.93965,Entire home/apt,140,5,57,2020-01-01,0.44,1,0,0,0363 D990 F92F DECF 88D4
1037485,Two layer apartment (118m2) with roof terrace,5711109,Joosje,,De Baarsjes - Oud-West,52.36926,4.86997,Entire home/apt,295,4,16,2019-04-01,0.13,1,0,0,0363 A768 8A09 A440 B921
1038120,Big trendy family loft in city center Amsterdam,5714947,Jasper,,Centrum-West,52.38793182373047,4.884929180145264,Entire home/apt,950,2,47,2022-06-07,0.41,1,331,2,0363 0EDA E3A3 86EC 338D
549310,Family Apartment with Garden,2699033,Barbara,,De Baarsjes - Oud-West,52.37126,4.86241,Entire home/apt,200,2,55,2023-01-02,0.59,1,0,8,0363 35CD 76C9 04D4 1A21
854328,Lovely top 2 floors. Canal view. 3 bedr. 2 bathr.,1347048,Family Of 5,,De Baarsjes - Oud-West,52.37262,4.87342,Entire home/apt,350,7,364,2023-01-17,3.01,3,37,27,0363 24EA E258 2D93 D630
862411,Fancy apartment heart of Amsterdam,4520552,Simone,,Centrum-West,52.38139,4.88541,Entire home/apt,180,93,82,2023-01-11,0.67,1,204,2,0363 2A3E E12A B662 839B
1041309,Museum square - light apartment - rooftop terrace,5732915,Martine,,Zuid,52.3543,4.88103,Entire home/apt,143,4,55,2022-07-21,0.46,1,0,3,0363 A514 A48A 5C15 66EE
553514,"B&B WestergasTverblijf , Cosy!",618589,Mirjam,,Westerpark,52.38444,4.86916,Entire home/apt,80,2,162,2020-02-16,1.31,1,36,0,0363 AD82 ADCF 17F3 C3EA
1044448,"Center, 2 storey cornerhouse, 4 BR, Canalview!",5750100,Saskia,,Centrum-Oost,52.36377,4.91788,Entire home/apt,990,3,38,2022-12-19,0.32,1,298,3,0363 4145 B8AC 548A 25C5
556829,"peaceful stay near city centre,  airport & forrest",2737834,Sophia,,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,139,3,27,2022-08-29,0.21,2,67,6,0363 957A 9061 D805 A3EC
865328,Sunny apartment Amsterdam Zuid behind Museumsquare,4543444,Trinette,,Zuid,52.35584,4.87401,Private room,150,4,176,2023-03-06,2.05,1,86,54,0363 4DBF 436A 6C12 7276
1044452,Charming Private Studio Westerpark,5750107,Jacob & Patricia,,Westerpark,52.38912,4.87907,Entire home/apt,150,2,290,2022-07-05,2.44,1,64,4,0363 D186 C01B 1BB7 922F
1047746,Big family house with garden!,2976877,Donate,,Oud-Oost,52.36227,4.92893,Entire home/apt,200,4,25,2023-03-04,0.21,1,58,3,03634D34BECEABA0DC8B
874057,Bright apt in center with canal view and king bed!,4592706,Joris,,De Baarsjes - Oud-West,52.3719,4.86534,Entire home/apt,225,4,36,2019-08-09,0.30,1,0,0,0363 D8C9 D5CC EB9D 3699
874076,The Weavery Boutique Bed&Breakfast2,4614541,Driss And Bettina,,Centrum-Oost,52.361362,4.890488,Private room,152,2,68,2023-02-12,0.84,2,166,17,0363 3293 F67E 2ECB 51E9
568446,Pretty apt in the center of A'dam,2797260,Noriko,,Centrum-Oost,52.37079,4.90153,Entire home/apt,150,3,109,2022-08-04,0.85,1,0,3,0363 2BD0 289D BF51 4A09
